ID	3fm	360magazine	bright	kidsweek	nos	nrc	sevendays
Art N Adv	501	43	9	15	17444	341	31
Adj N N	222	10	3	5	4465	50	3
Conj Adv V	383	10	10	9	6646	187	12
N V Adv	904	79	11	25	28371	369	29
Conj Pron Adv	196	15	0	9	5074	268	11
N V Adj	298	30	8	18	9777	164	15
Conj Adv N	0	0	0	1	1142	0	0
Prep Pron Num	127	5	2	1	1414	0	0
N Adj </s>	201	0	2	3	3132	59	7
Adj N Conj	382	44	17	8	9567	215	24
Prep Conj V	75	0	1	3	0	32	3
V Adv N	91	12	2	2	2939	34	0
Adj Misc Prep	0	4	2	2	0	0	0
<s> Adj Adj	80	6	2	0	0	30	0
Num Adv N	0	0	1	0	0	0	0
V </s> <s>	2955	333	80	140	90325	2594	117
N V Conj	471	57	15	19	18850	352	12
Pron V Num	0	4	1	2	1135	0	0
Pron N Adv	340	10	6	12	6152	214	10
<s> Adj Adv	0	0	1	2	0	24	3
Prep Art Prep	0	10	1	2	2114	50	0
Prep Conj N	0	0	2	1	0	0	0
Adj V Num	0	0	4	0	0	0	0
Prep N Prep	604	57	15	23	23016	271	13
V Adv V	265	27	5	9	8916	158	8
Prep V Pron	0	6	1	4	1111	35	4
Adj Misc V	68	8	1	3	1876	0	2
Adj Prep Int	0	0	0	1	0	0	0
Misc V N	0	4	0	0	1164	0	0
Pron Adj Art	0	0	5	0	0	32	4
V Prep </s>	0	5	0	0	0	26	0
Adj N Adj	191	15	0	4	3770	78	7
Misc V V	85	0	2	0	1247	26	3
Num Num Conj	0	0	0	0	0	0	2
Adj N Adv	314	22	4	7	6550	151	12
Prep Prep Prep	0	0	1	0	0	0	0
Adv V </s>	300	21	4	12	7103	241	10
V N Num	149	0	0	0	1024	0	0
Num Adj Prep	145	0	4	0	1304	0	7
Adj Misc N	0	0	1	0	0	0	0
<s> Num Int	87	0	0	0	0	0	0
V Art N	1016	93	24	29	33890	468	39
Adj Adv </s>	62	0	0	3	1107	52	2
N Num V	256	8	1	0	2353	0	0
Pron Pron Art	0	0	2	0	967	55	0
Adv Misc Misc	127	6	0	0	0	0	2
N Pron Prep	123	10	4	3	4199	94	7
Int Adj Adj	0	0	1	0	0	0	0
<s> <s> Adv	1426	74	35	52	31257	850	40
Conj N Art	0	6	0	2	1110	28	2
<s> <s> Adj	969	66	15	38	14798	358	20
Int Pron V	0	0	0	2	0	42	0
Art N Art	142	13	9	3	7170	141	6
Int V Prep	0	6	1	0	1450	0	0
Conj Int Num	0	0	1	0	0	0	0
Pron Art Num	0	0	0	3	0	0	0
Conj Num Conj	0	0	1	0	0	0	0
V Art V	62	5	3	0	2720	34	0
N Num N	586	17	0	7	5262	27	5
Adv Pron Art	0	0	2	0	0	29	4
V Num Num	0	0	0	0	0	0	2
V Prep Adj	212	23	10	7	7960	103	11
Prep Prep Num	75	0	0	0	1214	0	0
Int Int Int	198	13	1	0	0	0	5
Pron Adv Adj	189	12	0	9	3565	177	7
Conj Int V	0	4	0	0	0	0	0
Pron Pron N	244	17	9	9	3918	186	7
Pron Adj Prep	207	6	3	4	3267	160	3
Adv Adj </s>	195	6	4	12	3976	117	5
<s> N Num	84	0	1	0	0	0	7
Prep Adv Pron	0	8	2	3	0	31	0
<s> N Int	103	9	0	0	0	0	2
Adj Pron Prep	0	0	0	2	1089	54	3
Conj Pron Num	0	0	0	4	0	0	0
<s> <s> Num	657	23	2	17	4977	69	16
Pron Adv Adv	408	15	7	16	6391	358	18
Misc Num N	85	0	0	0	0	0	0
Adv Adv Conj	92	6	3	5	2687	101	6
V Prep Adv	96	13	5	0	2499	42	2
Art Adv Pron	0	0	1	0	0	0	0
N N Prep	443	40	5	4	9510	156	11
Num Adj Adj	0	0	1	0	0	0	0
Adj Prep N	427	31	8	12	8329	130	15
Pron V Adj	169	11	2	8	4416	150	9
Pron Prep N	230	16	2	7	4783	134	7
Int Conj Art	0	0	1	0	0	0	0
N Pron V	137	18	1	2	4013	95	3
Adj V Prep	400	40	14	11	13014	218	12
<s> Conj Adj	0	0	2	2	0	31	4
Pron Prep V	100	8	4	9	2672	109	6
Adv N Prep	114	5	2	2	2802	35	2
N Pron N	160	7	4	3	4149	82	4
N Pron Misc	0	0	1	0	0	0	2
Num Prep Pron	65	4	0	2	994	0	0
Pron V Adv	554	46	11	28	14668	494	25
Adj Prep V	206	22	8	12	5348	148	8
<s> Adj Int	0	0	0	7	0	0	0
Pron Pron Pron	0	4	0	0	1184	78	2
V V Misc	0	0	1	1	0	0	0
Adj Conj N	129	12	2	3	2050	49	2
Conj Conj Adv	0	0	1	0	0	0	0
Adv Prep Adj	121	6	2	4	2865	50	0
Misc Misc Art	200	5	0	5	1209	0	4
Conj Adv Prep	198	16	6	8	4750	127	7
Conj Conj N	0	7	0	0	0	0	1
Num N Misc	169	7	2	3	0	0	0
Int Int Art	0	0	1	0	0	0	0
<s> V Pron	129	7	3	7	0	110	4
Pron V Prep	394	37	14	17	12292	337	17
Prep Prep Art	252	9	10	6	4468	77	3
V Num Prep	0	0	2	0	0	0	0
Pron N Art	122	0	4	2	2487	86	3
Adv Prep Adv	63	4	0	0	1007	33	0
Conj N Pron	0	7	1	0	1115	31	0
N V Punc	0	0	1	0	0	0	0
V Adj Pron	0	0	2	4	1020	35	3
<s> Pron Conj	0	0	1	0	0	0	0
Pron Art Adj	244	11	5	9	4515	180	14
N N Conj	323	23	3	6	5551	64	8
Prep N Misc	313	42	2	0	3487	38	9
Num Art Adj	61	0	0	0	0	0	0
Adv Adv </s>	135	11	3	10	2364	109	7
V Prep Num	497	19	6	5	9655	49	8
Adv Int Conj	0	0	1	0	0	0	0
Art Adj V	543	50	19	26	18009	369	16
Adv Adv Num	126	7	1	4	2253	24	2
N Conj Art	289	58	10	8	13243	211	12
Art Adj N	2637	188	64	74	70281	1133	83
Art Adj </s>	209	17	7	10	6414	164	14
V Adv Int	0	0	0	0	0	0	3
N Adv Pron	130	14	6	2	3072	118	11
Misc Adv V	0	4	0	0	0	20	0
Conj Pron Adj	167	26	0	3	3236	174	6
Conj V </s>	0	16	0	4	1748	51	0
<s> Adv </s>	0	0	0	0	0	22	0
N Punc N	0	0	1	0	0	0	0
Art N Adj	417	24	14	5	10077	181	15
Adj N Prep	1351	108	28	27	33856	611	50
Pron Prep Prep	61	4	2	2	1048	21	2
Art Num N	683	19	6	14	15736	118	15
Adj N Misc	532	21	7	13	6604	85	8
Conj V Pron	219	15	3	4	3321	158	17
Misc Prep Misc	251	11	0	0	0	0	3
<s> <s> Art	2245	154	51	74	67860	983	60
Conj Int Art	0	0	0	0	0	0	2
Adv V Conj	201	14	4	6	6593	169	3
Adv Adj Pron	84	4	0	3	1281	53	3
Conj Art V	121	7	2	0	3126	71	2
Adv Prep N	432	31	6	5	10187	157	12
<s> Int N	77	9	0	0	0	0	0
N N Num	147	5	0	0	1330	0	2
Misc V Prep	218	5	3	2	2448	0	2
Pron N N	168	0	4	6	2028	66	7
Prep Adv Prep	0	8	0	0	1395	20	0
Adv Prep Art	737	35	10	18	20109	472	26
Prep Prep Adj	0	5	0	2	1072	0	2
N Int </s>	0	6	0	0	0	0	0
V Adv Conj	101	16	2	6	4798	101	5
Pron N V	862	66	23	28	20715	639	26
Art Adv </s>	0	0	0	0	0	0	2
<s> Int V	227	8	2	2	2481	82	0
V V Adj	0	11	1	0	2226	41	2
Pron Misc Art	0	0	0	0	0	0	2
Conj Num Prep	0	0	0	2	0	0	3
N Adv Adv	320	14	2	11	7367	170	13
Adj Prep Art	637	37	11	20	18180	418	21
V Pron Adj	339	19	7	9	5637	221	14
V Pron Adv	730	37	12	38	11474	541	25
<s> <s> Int	1011	112	15	5	5663	322	5
Adv Adj Art	0	0	2	3	1398	37	2
Conj Misc Misc	315	4	0	2	968	0	4
N Adv Adj	180	17	3	6	4760	96	5
Misc Misc Num	144	0	2	0	0	0	0
<s> Adj Conj	63	4	0	2	0	29	2
Pron Misc </s>	0	5	0	0	0	0	0
Conj Pron Art	127	7	2	6	3508	144	8
V Conj N	157	16	3	2	5638	96	4
Art N Conj	538	75	17	17	19310	407	18
Num Art N	76	0	0	0	1211	0	4
Adj Num Adj	0	0	3	0	0	0	2
Adv Adj Adv	99	4	4	2	1974	58	3
Art V Conj	0	0	2	2	1645	44	0
Adv Adj Adj	166	0	0	3	2362	64	5
Num Prep N	140	7	3	0	2079	0	4
Adj Prep Pron	270	11	13	6	4191	375	7
